Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
30-7-2021 0:32:47,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",More then 20.000€,Between 150 and 200k€,Between 1M€ and 1.2M€,Up to 3000€,Less then 60% (but more then above answer),couple trying to reach FIRE (2 person)
30-7-2021 23:15:06,I am in my 20's,...Dutch,Province of Flemish Brabant,"Just starting out, still have to choose one",Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),TAK23 Pension saving,4.000-6.000€,Between 25 and 50k€,,Up to 700€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
1-8-2021 0:19:37,I am in my 20's,...Dutch,Province of Limburg,Bolero,Before my 30's,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",14.000-16.000€,Between 0 and 25k€,Between 5M€ and 10M€,Up to 1500€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
1-8-2021 17:02:39,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 60 years of age,Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),12.000-14.000€,Between 0 and 25k€,Between 200 and 250k€,Up to 1400€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
1-8-2021 19:34:17,I am in my 30's,Romanian,Province of Liège,ING,Before my 30's,Physical real estate (house - apartment - garage - agricultural - etc...),"Crypto currency, TAK21 Pension saving",0 - 2.000€,Between 0 and 25k€,Between 0 and 50k€,Up to 200€,Less then 10% (but more then above answer),single person trying to reach FIRE (1 person)
1-8-2021 20:34:30,,,,,,,,,,,,,
1-8-2021 21:34:21,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,8.000-10.000€,Between 50 and 75k€,Between 450 and 500k€,Up to 1200€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
2-8-2021 9:31:44,I am in my 20's,...Dutch,Brussels Capital Region,Belfius,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),10.000-12.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 800€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
2-8-2021 11:14:11,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, TAK21 Pension saving",18.000-20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 700€,Less then 20% (but more then above answer),couple trying to reach FIRE (2 person)
2-8-2021 18:59:51,I am in my 30's,....French,Brussels Capital Region,"Just starting out, still have to choose one",Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",10.000-12.000€,Between 200 and 250k€,Between 300 and 350k€,Up to 2000€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
2-8-2021 22:25:10,I am in my 20's,...Dutch,Brussels Capital Region,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,0 - 2.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 100€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
3-8-2021 8:58:00,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 55 years of age,Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),18.000-20.000€,Between 50 and 75k€,Between 900 and 1M€,Up to 2200€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
3-8-2021 11:59:57,,,,,,,,,,,,,
4-8-2021 10:17:25,I am in my 30's,...Dutch,Province of Flemish Brabant,Kraken,Before 45 years of age,Crypto currency,Mutual share funds,More then 20.000€,Between 700 and 800k€,Between 1.6M€ and 1.8M€,Up to 3000€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
4-8-2021 12:29:57,I am in my 20's,....French,Brussels Capital Region,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,6.000-8.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 300€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
4-8-2021 14:30:07,I am in my 30's,...Dutch,I am living in another country,BinckBank,I don't think I will FIRE before I officially retire (67),Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving",More then 20.000€,Between 150 and 200k€,Between 1.8M€ and 2M€,Up to 1000€,Less then 50% (but more then above answer),Just checking
4-8-2021 16:28:33,I am in my 20's,...Dutch,Province of East Flanders,Interactive Brokers,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,4.000-6.000€,Between 0 and 25k€,Between 150 and 200k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
4-8-2021 22:54:21,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,18.000-20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1500€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
5-8-2021 23:28:07,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 40 years of age,Crypto currency,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),4.000-6.000€,Between 800 and 900k€,Between 2.4M€ and 2.6M€,Above 4000€,Less then 90% (but more then above answer),single person trying to reach FIRE (1 person)
6-8-2021 0:01:27,I am in my 20's,....French,Province of Walloon Brabant,Bolero,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 200 and 250k€,Between 400 and 450k€,Up to 2000€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
7-8-2021 8:05:02,I am in my 20's,...Dutch,I am living in another country,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",More then 20.000€,Between 75 and 100k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
8-8-2021 11:25:21,,,,,,,,,,,,,
8-8-2021 19:48:03,I am in my 30's,...Dutch,Province of Antwerp,Lynx,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,6.000-8.000€,Between 50 and 75k€,Between 2.2M€ and 2.4M€,Up to 1700€,Less then 65% (but more then above answer),couple trying to reach FIRE (2 person)
9-8-2021 12:01:35,I am in my 20's,...Dutch,Province of East Flanders,Bux Zero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,4.000-6.000€,Between 0 and 25k€,Between 700 and 800k€,Up to 1100€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
9-8-2021 20:41:13,I am in my 20's,...Dutch,Province of West Flanders,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,14.000-16.000€,Between 0 and 25k€,Between 550 and 600k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
9-8-2021 21:24:21,,,,,,,,,,,,,
9-8-2021 21:25:17,,,,ING,,,,,,,,,
10-8-2021 8:53:21,I am in my 20's,...Dutch,Province of Limburg,DeGiro,Before 45 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving, TAK23 Pension saving",8.000-10.000€,Between 75 and 100k€,Between 3M€ and 3.5M€,Up to 800€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
10-8-2021 8:57:47,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...)",18.000-20.000€,More then 1M€,Between 3M€ and 3.5M€,Up to 1000€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
11-8-2021 0:05:08,,,,,,,,,,,,,
11-8-2021 8:31:48,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Single shares or bonds, TAK21 Pension saving",More then 20.000€,Between 50 and 75k€,Between 1.8M€ and 2M€,Up to 1000€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
11-8-2021 12:52:12,I am in my 30's,...English,Province of Flemish Brabant,DeGiro,Before 50 years of age,Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),6.000-8.000€,Between 25 and 50k€,Between 700 and 800k€,Up to 1500€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
11-8-2021 22:06:48,I am in my 30's,...Dutch,Province of West Flanders,Bolero,Before 67 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 0 and 25k€,Between 200 and 250k€,Up to 600€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
13-8-2021 16:59:18,I am in my 30's,....French,Province of Walloon Brabant,"Just starting out, still have to choose one",Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,14.000-16.000€,Between 50 and 75k€,Between 500 and 550k€,Up to 700€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
14-8-2021 11:53:45,I am in my 20's,...Dutch,Province of Limburg,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual bond funds, Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 75 and 100k€,Between 500 and 550k€,Up to 500€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
16-8-2021 12:22:48,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Mutual share funds, Single shares or bonds",18.000-20.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 1000€,,single person trying to reach FIRE (1 person)
17-8-2021 15:25:23,I am in my 20's,...Dutch,Brussels Capital Region,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,2.000-4.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 700€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
17-8-2021 23:28:12,I am in my 20's,....French,Province of Walloon Brabant,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",2.000-4.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1800€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
18-8-2021 23:43:36,I am younger then 20 years of age,...Dutch,Province of Flemish Brabant,DeGiro,Before my 30's,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),/,0 - 2.000€,Between 0 and 25k€,Above 10M€....,Up to 100€,Less then 90% (but more then above answer),single person trying to reach FIRE (1 person)
